Manga series,Author(s),Publisher,Demographic,"No. of collected
volumes",Serialized,Approximate sales,"Average sales
per volume[b]"
One Piece,Eiichiro Oda,Shueisha,Shōnen,106,1997–present,516600000,4820000
Golgo 13,"Takao Saito, Saito Production",Shogakukan,Seinen,208,1968–present,300000000,1450000
Case Closed / Detective Conan,Gosho Aoyama,Shogakukan,Shōnen,102,1994–present,270000000,2650000
Dragon Ball,Akira Toriyama,Shueisha,Shōnen,42,1984–1995,260000000,6190000
Doraemon,Fujiko F. Fujio,Shogakukan,Children,45,1969–1996,250000000,4710000
Naruto,Masashi Kishimoto,Shueisha,Shōnen,72,1999–2014,250000000,3470000
Slam Dunk,Takehiko Inoue,Shueisha,Shōnen,31,1990–1996,170000000,5480000
KochiKame: Tokyo Beat Cops,Osamu Akimoto,Shueisha,Shōnen,201,1976–2016,156500000,780000
Demon Slayer: Kimetsu no Yaiba,Koyoharu Gotouge,Shueisha,Shōnen,23,2016–2020,150000000,6520000
Crayon Shin-chan,"Yoshito Usui, UY Team",Futabasha,Seinen,63,1990–present,148000000,2350000
Oishinbo,"Tetsu Kariya, Akira Hanasaki",Shogakukan,Seinen,111,1983–2014 (on hiatus),135000000,1220000
Bleach,Tite Kubo,Shueisha,Shōnen,74,2001–2016,130000000,1750000
Attack on Titan,Hajime Isayama,Kodansha,Shōnen,34,2009–2021,120000000,3520000
JoJo's Bizarre Adventure,Hirohiko Araki,Shueisha,Shōnen/Seinen,132,1987–present,120000000,910000
Astro Boy,Osamu Tezuka,Kobunsha,Shōnen,23,1952–1968,100000000,4350000
Fist of the North Star,"Buronson, Tetsuo Hara",Shueisha,Shōnen,27,1983–1988,100000000,3700000
Hajime no Ippo,George Morikawa,Kodansha,Shōnen,138,1989–present,100000000,720000
The Kindaichi Case Files,"Yōzaburō Kanari, Seimaru Amagi, Fumiya Satō",Kodansha,Shōnen/Seinen,90,1992–present,100000000,1110000
Kingdom,Yasuhisa Hara,Shueisha,Seinen,70,2006–present,100000000,1420000
Touch,Mitsuru Adachi,Shogakukan,Shōnen,26,1981–1986,100000000,3850000